name,loss_function,loss_function_params.clip,count,mean_average_precision,precision_at_1,ndcg_at_5,ndcg_at_10,ndcg_at_15,ndcg_at_20,ndcg_at_50,coverage_at_5,coverage_at_10,coverage_at_15,coverage_at_20,coverage_at_50,personalization_at_5,personalization_at_10,personalization_at_15,personalization_at_20,personalization_at_50,IPS,IPS_C,CIPS,CIPS_C,SNIPS,SNIPS_C,DirectEstimator,DoublyRobust,DoublyRobust_C
bce-,bce,-,5,0.446,0.354,0.457,0.506,0.541,0.571,0.593,0.303,0.398,0.467,0.503,0.530,0.717,0.775,0.775,0.775,0.775,0.340,0.652,0.201,0.319,0.346,0.006,0.199,0.312,0.051
crm1.0,crm,1.0,1,0.439,0.363,0.430,0.479,0.518,0.550,0.574,0.298,0.387,0.454,0.492,0.530,0.739,0.780,0.780,0.780,0.780,0.358,0.690,0.208,0.332,0.383,0.006,0.201,0.334,0.054
crm5.0,crm,5.0,1,0.439,0.363,0.432,0.481,0.515,0.550,0.573,0.297,0.382,0.455,0.488,0.530,0.739,0.783,0.783,0.783,0.783,0.358,0.684,0.209,0.329,0.377,0.006,0.201,0.334,0.054
crm10.0,crm,10.0,1,0.444,0.366,0.439,0.489,0.523,0.558,0.580,0.295,0.384,0.457,0.495,0.530,0.737,0.781,0.781,0.781,0.781,0.352,0.680,0.208,0.331,0.381,0.006,0.201,0.330,0.053
crm20.0,crm,20.0,1,0.439,0.361,0.440,0.478,0.518,0.549,0.575,0.297,0.385,0.452,0.501,0.530,0.739,0.786,0.786,0.786,0.786,0.348,0.685,0.204,0.328,0.369,0.006,0.200,0.327,0.054
crm40.0,crm,40.0,1,0.424,0.340,0.428,0.475,0.512,0.545,0.568,0.295,0.388,0.443,0.498,0.530,0.739,0.790,0.790,0.790,0.790,0.331,0.655,0.194,0.314,0.341,0.006,0.195,0.309,0.052
crm100.0,crm,100.0,6,0.430,0.341,0.435,0.485,0.522,0.553,0.575,0.296,0.385,0.448,0.499,0.530,0.732,0.784,0.784,0.784,0.784,0.341,0.748,0.194,0.324,0.349,0.006,0.196,0.319,0.059
crm-,crm,-,6,0.431,0.344,0.434,0.484,0.523,0.554,0.576,0.300,0.388,0.457,0.498,0.530,0.730,0.782,0.782,0.782,0.782,0.349,0.804,0.196,0.330,0.352,0.006,0.195,0.320,0.066
